Model;Name;Price
B450 PRO4 R2.0;ASRock | B450 PRO4 R2.0 | Processor family AMD | Processor socket AM4 | DDR4 | Supported hard disk drive interfaces SATA, M.2;81.39€
PRIME B450M-A II;Asus | PRIME B450M-A II | Processor family AMD | Processor socket AM4 | DDR4 | Memory slots 4 | Number of SATA connectors 6 x SATA III | Chipset AMD B | Micro ATX;81.79€
PRIMEH610M-K;Mainboard|ASUS|Intel H610|LGA1700|Micro-ATX|Memory DDR5|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|1xM.2|1x15pin D-sub|1xHDMI|4xUSB 2.0|2xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|PRIMEH610M-K;82.99€
B550MK1.1;Mainboard|GIGABYTE|AMD B550|SAM4|Micro-ATX|Memory DDR4|Memory slots 4|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|2xM.2|1xHDMI|1xDisplayPort|2xAudio-In|1xAudio-Out|4xUSB 2.0|4xUSB 3.2|1xPS/2|1xRJ45|B550MK1.1;83.29€
H610MS2HV21.0;Mainboard|GIGABYTE|Intel H610|LGA1700|Micro-ATX|Memory DDR5|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|1xM.2|1x15pin D-sub|1xHDMI|2xDisplayPort|4xUSB 2.0|2xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|H610MS2HV21.0;83.39€
H610M H V2 G1.0;Gigabyte | H610M H V2 G1.0 | Processor family Intel | Processor socket LGA1700 | DDR5 | Supported hard disk drive interfaces M.2, SATA | Number of SATA connectors 4;84.19€
H610MH D5;BIOSTAR H610MH D5 pagrindinė plokštė;84.39€
B550M K;Gigabyte | B550M K 1.0 M/B | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 4 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset AMD B550 | Micro ATX;85.79€
H610M S2H V2;GIGABYTE H610M S2H V2 LGA1700 2xDDR5 4xSATA 1xM.2;86.29€
PRO A620M-B;MSI PRO A620M-B | Processor family AMD | Processor socket AM5 | DDR5 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4;87.39€
A620MH1.2;Mainboard|GIGABYTE|AMD A620|SAM5|Micro-ATX|Memory DDR5|Memory slots 2|1xPCI-Express 3.0 16x|1xPCI-Express 4.0 16x|1xM.2|1xHDMI|1xDisplayPort|4xUSB 2.0|2xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|A620MH1.2;88.39€
B650MT;Mainboard|BIOSTAR|AMD B650|SAM5|Micro-ATX|Memory DDR5|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|1xM.2|1xHDMI|1xDisplayPort|2xUSB 2.0|4xUSB 3.2|1xRJ45|3xAudio port|B650MT;89.79€
H610M D3W DDR4;GIGABYTE H610M D3W DDR4;89.79€
B550MX/E PRO;Biostar B550MX/E PRO pagrindinė plokštė AMD B550 AM4 lizdas „micro ATX“;89.99€
PRIMEH610M-AWIFID4;Mainboard|ASUS|Intel H610|LGA1700|Micro-ATX|Memory DDR4|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|2xM.2|1x15pin D-sub|1xHDMI|1xDisplayPort|2xAudio-In|1xAudio-Out|4xUSB 2.0|2xUSB 3.2|2xPS/2|1xRJ45|2xRF-Out|H610M-AWIFID4;90.49€
A520 AORUS ELITE;GIGABYTE A520 AORUS ELITE AM4 DDR4 1xM.2 4xSATA HDMI ATX MB;90.69€
B550M PRO-VDH;MSI | B550M PRO-VDH | Processor family AMD | Processor socket AM4 | DDR4 | Memory slots 4 | Number of SATA connectors 4 | Chipset AMD B | Micro ATX;91.19€
A620M H;Gigabyte | A620M H 1.0 M/B | Processor family AMD | Processor socket AM5 | DDR5 DIMM | Memory slots 2 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4 | Chipset AMD A620 | Micro ATX;91.49€
B550M PHANTOM GAMING 4;ASROCK B550M PHANTOM GAMING 4 3rd Gen AMD AM4 Socket 4 xDDR4 4733+ 1 PCIe 4.0 x16 1 PCIe 3.0 x16 2 PCIe 3.0 x1 1 xM.2 6 SATA3 8 USB;92.29€
B760MHDDR4;GIGABYTE B760M H DDR4 |LGA1700|Micro-ATX|Memory DDR4|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|2xM.2|1x15pin D-sub|1xHDMI|1xAudio-In|1xAudio-Out|1xMicrophone|2xUSB 2.0|4xUSB 3.2|1xRJ45;92.29€
B550MDS3H1.7;Mainboard|GIGABYTE|AMD B550|SAM4|Micro-ATX|Memory DDR4|Memory slots 4|1xPCI-Express 3.0 1x|1xPCI-Express 3.0 4x|1xPCI-Express 4.0 16x|2xM.2|1xDVI-D|1xHDMI|2xAudio-In|1xAudio-Out|4xUSB 2.0|4xUSB 3.2|1xPS/2|1xRJ45|B550MDS3H1.7;93.19€
B550M AORUS ELITE;GIGABYTE B550M AORUS ELITE pagrindinė plokštė | AM4 DDR4 2xM.2 4xSATA HDMI DVI mATX MB;93.69€
90-MXBE90-A0UAYZ;ASRock B550M Phantom Gaming 4 | Processor family AMD | Processor socket AM4 | DDR4 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4;93.69€
PRIMEB550M-KARGB;Mainboard|ASUS|AMD B550|SAM4|Micro-ATX|Memory DDR4|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 3.0 16x|1xPCI-Express 4.0 16x|1xM.2|1xHDMI|1xDisplayPort|1xAudio-In|1xAudio-Out|1xMicrophone|2xUSB 2.0|4xUSB 3.2|1xPS/2|1xRJ45|PRIMEB550M-KARGB;94.69€
PRIMEA620M-K;Mainboard|ASUS|AMD A620|Micro-ATX|Memory DDR5|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|1xM.2|1x15pin D-sub|1xHDMI|2xUSB 2.0|4xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|PRIMEA620M-K;95.49€
B760M H DDR4;Gigabyte | B760M H DDR4 1.0 M/B | Processor family Intel | Processor socket LGA1700 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4 | Chipset Intel B760 Express | Micro ATX;95.59€
PRIME B450-PLUS;ASUS PRIME B450-PLUS, AM4, B450, USB3.1, M.2, SATA 6GB/S (BIOS iškart palaiko AMD RYZEN 3000 kartos CPU);95.79€
90MB1F40-M0EAY0;Asus | PRIME A620M-K | Processor family AMD | Processor socket AM5 | DDR5 DIMM | Memory slots 2 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset AMD A620 | micro-ATX;96.19€
A620M-HDV/M.2+;ASRock A620M-HDV/M.2+ | Processor family AMD | Processor socket AM5 | DDR5 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4;96.29€
A620M-HDV/M.2;ASRock | A620M-HDV/M.2 | Processor family AMD | Processor socket AM5 | DDR5 DIMM | Memory slots 2 | Supported hard disk drive interfaces SATA3, M.2 | Number of SATA connectors 2 | Chipset AMD A620 | Micro ATX;96.29€
B760M D3HP DDR4;GIGABYTE M/B B760M D3HP DDR4 1.0 | Gigabyte;96.29€
PRO H610M-G;MSI | PRO H610M-G | Processor family Intel | Processor socket LGA1700 | DDR5 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4;96.69€
B550 PHANTOM GAMING 4;ASRock | B550 PHANTOM GAMING 4 | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Supported hard disk drive interfaces SATA3, M.2 | Number of SATA connectors 6;96.79€
B550M DS3H;Gigabyte | B550M DS3H 1.0 | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 4 | Number of SATA connectors 4 x SATA 6Gb/s connectors | Chipset AMD B | Micro ATX;97.39€
PRO B760M-P DDR4;MSI | PRO B760M-P DDR4 | Processor family Intel | Processor socket  LGA1700 | DDR4 DIMM | Memory slots 4 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset Intel B760 | mATX;97.59€
90MB14V0-M0EAY0;Asus | PRIME B550M-K | Processor family AMD | Processor socket AM4 | DDR4 | Memory slots 4 | Chipset AMD B | Micro ATX;98.49€
90MB17G0-M0EAY0;Asus | TUF GAMING A520M-PLUS II | Processor family AMD | Processor socket AM4 | DDR4 DIMM | Memory slots 4 | Supported hard disk drive interfaces  SATA, M.2 | Number of SATA connectors 4 | Chipset  AMD A520 | Micro ATX;98.59€
PROB760M-PDDR4;Mainboard|MSI|Intel B760 Express|LGA1700|Micro-ATX|Memory DDR4|Memory slots 4|2xPCI-Express 1x|1xPCI-Express 16x|2xM.2|1x15pin D-sub|1xHDMI|1xDisplayPort|4xUSB 2.0|1xUSB 3.2|1xUSB-C|2xPS/2|1xRJ45|3xAudio port|PROB760M-PDDR4;98.59€
90MB14I0-M0EAY0;Asus | PRIME B550M-A | Processor family AMD | Processor socket AM4 | DDR4 | Memory slots 4 | Supported hard disk drive interfaces M.2, SATA | Number of SATA connectors 4 | Chipset AMD B | Micro ATX;99.39€
B650MS2H1.2;Mainboard|GIGABYTE|AMD B650|SAM5|Micro-ATX|Memory DDR5|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|1xM.2|1x15pin D-sub|1xHDMI|1xDisplayPort|4xUSB 2.0|2xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|B650MS2H1.2;99.99€
A620M DS3H 1.1;Mainboard|GIGABYTE|AMD A620|SAM5|Micro-ATX|Memory DDR5|Memory slots 4|1xPCI-Express 4x|1xPCI-Express 3.0 1x|1xM.2|1x15pin D-sub|1xHDMI|1xDisplayPort|4xUSB 2.0|1xUSB 3.2|1xUSB-C|1xPS/2|1xRJ45|3xAudio port|A620MDS3H1.1;99.99€
