Model;Name;Price
R-LT240-BKAMNC-G-1;Deepcool | Liquid CPU cooler | LT240 ARGB | Intel, AMD;127.99€
R-LT240-WHAMNC-G-1;Deepcool | Liquid CPU cooler | LT240 WH ARGB | Intel, AMD;127.99€
BW019;BE QUIET PURE LOOP 2 360mm;129.69€
BW013;BE QUIET PURE LOOP 2 FX 240mm;130.19€
ACFRE00153A;CPU COOLER S_MULTI/ACFRE00153A ARCTIC;130.29€
MLX-D24M-A25PZ-R1;COOLER MASTER Water cooling MasterLiquid 240 Atmos RGB;130.99€
AEROPGSMIRAGE-L360-B;AEROCOOL PGS MIRAGE L360 ARGB BK vandens aušintuvas;132.19€
MLX-D24M-A25PZ-RW;COOLER MASTER COOLER MasterLiquid 240 Atmos ARGB White;133.39€
MAG CORELIQUID E360;MSI MAG CORELIQUID E360;136.49€
FD-W-L1-S3611;FRACTAL DESIGN Lumen S36 v2;136.79€
BW022;BE QUIET LIGHT LOOP 360mm;136.89€
CL-W419-PL00BL-A;Thermaltake Toughliquid 280 EX Pro ARGB;139.79€
BW010;BE QUIET SILENT LOOP 2 240mm;140.99€
BW014;BE QUIET PURE LOOP 2 FX 280mm;142.59€
BW023;BE QUIET LIGHT LOOP 360mm White;144.19€
BW025;BE QUIET SILENT LOOP 3 360mm;145.39€
RL-KN240-B1;NZXT CPU water cooling Kraken 240 LCD;147.99€
MLX-D36M-A25PZ-R1;COOLER MASTER Water cooling MasterLiquid 360 Atmos RGB;148.19€
R-LT360-BKAMNC-G-1;Deepcool | Liquid CPU cooler | LT360 ARGB | Intel, AMD;151.59€
R-LT360-WHAMNC-G-1;Deepcool | Liquid CPU cooler | LT360 WH ARGB | Intel, AMD;151.59€
GP-AORUS WATERFORCE 240;GIGABYTE AORUS WATERFORCE 240LIQUID CPU COOLER with ARGB display;151.99€
BW015;BE QUIET PURE LOOP 2 FX 360mm;152.49€
BW026;BE QUIET SILENT LOOP 3 420mm;153.99€
BW011;BE QUIET SILENT LOOP 2 280mm;154.19€
RL-KN280-B1;NZXT CPU water cooling Kraken 280 LCD;154.79€
FD-WCU-CELSIUS-S36-BK;Fractal Design | Celsius S36 | Cooler;154.89€
CL-W400-PL12BL-A;Thermaltake Toughliquid 360 EX Pro ARGB;154.89€
NH-U14S DX-4677;Noctua NH-U14S DX-4677 NH-U14S DX-4677 Procesorius Orinis aušintuvas 14 cm Ruda, Šviesiai ruda, Sidabras;155.59€
LEVANTEX360-BKCWW;CPU COOLER S_MULTI/LEVANTEX360-BKCWW ADATA;159.79€
G89.GA2T24INB.00;CPU COOLER S_MULTI/G89.GA2T24INB.00 LIAN LI;161.29€
G89.GA2T24INW.00;CPU COOLER S_MULTI/G89.GA2T24INW.00 LIAN LI;161.29€
GP-AORUS WATERFORCE 280;GIGABYTE AORUS WATERFORCE 280LIQUID CPU COOLER with ARGB display;162.19€
NH-D15G2;Noctua NH-D15 G2 Kompiuterio aušinimo sistema Procesorius Orinis aušintuvas 14 cm;162.49€
NH-D15G2HBC;Noctua NH-D15 G2 HBC Kompiuterio aušinimo sistema Procesorius Orinis aušintuvas 14 cm;162.49€
NH-D15G2LBC;Noctua NH-D15 G2 LBC Kompiuterio aušinimo sistema Procesorius Orinis aušintuvas 14 cm;162.49€
AORUS WATERFORCE II 360 ICE;GIGABYTE AORUS WATERFORCE II 360 ICE;163.59€
90RC0111-B0EAY0;ASUS PRIME LC 240 ARGB all-in-one liquid CPU cooler;164.19€
CL-W383-PL12SW-A;Thermaltake TH240 V2 Ul tra ARGB;167.39€
CW-9061016-WW;CORSAIR iCUE LINK TITAN 240 RX RGB AIO 240mm Radiator Liquid CPU Cooler;167.69€
RL-KR240-B1;NZXT CPU water cooling Kraken 240 RGB LCD;171.39€
CL-W401-PL14BL-A;Thermaltake Toughliquid 420 EX Pro ARGB;173.19€
BW012;BE QUIET SILENT LOOP 2 360mm;176.59€
CW-9061017-WW;Corsair | AIO Liquid CPU Cooler | iCUE LINK TITAN 280 RX RGB | Intel, AMD;178.89€
RL-KR280-W1;NZXT CPU water cooling Kraken 280 RGB LCD White;180.59€
CW-9061020-WW;Corsair iCUE LINK TITAN RX RGB Procesorius Universalusis skystinis aušintuvas 12 cm Balta 1 vnt;185.19€
CW-9061001-WW;CORSAIR iCUE LINK H100i RGB AIO 240mm Radiator Liquid CPU Cooler;186.49€
RL-KR280-B1;NZXT CPU water cooling Kraken 280 RGB LCD;189.39€
CL-W384-PL12SW-A;Thermaltake TH360 V2 Ul tra ARGB;190.19€
R-LX750-BKADSNC-G-1;Deepcool | CPU Cooler | MYSTIQUE 360 ARGB | Intel, AMD;191.99€
RL-KR240-W1;NZXT CPU water cooling Kraken 240 RGB LCD White;192.99€
CW-9061005-WW;CORSAIR iCUE LINK H100i RGB White AIO 240mm Radiator Liquid CPU Cooler;193.39€
CW-9061018-WW;CORSAIR iCUE LINK TITAN 360 RX RGB AIO 360mm Radiator Liquid CPU Cooler;201.49€
CL-W407-PL14SW-A;Thermaltake TH420 V2 Ul ltra ARGB;207.29€
GP-AORUS WATERFORCE X 280;GIGABYTE AORUS WATERFORCE X 280 All-in-one Liquid Cooler with Circular LCD Display RGB Fusion 2.0 Triple 140mm ARGB;209.39€
CW-9061021-WW;CPU Cooling iCUE LINK TITAN 360 RX RGB AIO 360mm White;211.19€
CW-9061021-WW;Corsair iCUE LINK TITAN RX RGB Procesorius Universalusis skystinis aušintuvas 12 cm Balta 1 vnt;212.69€
RL-KN28E-B1;NZXT CPU water cooling Kraken Elite 280 LCD;213.29€
G89.GHSLCD36RW.00;CPU COOLER S_MULTI/G89.GHSLCD36RW.00 LIAN LI;213.89€
CW-9060073-WW;Corsair CW-9060073-WW Kompiuterio aušinimo sistema Procesorius Universalusis skystinis aušintuvas 12 cm Balta 1 vnt;216.19€
RL-KN24E-B1;NZXT CPU water cooling Kraken Elite 240 LCD;219.89€
90RC0120-M0UAY0;ASUS ProArt LC 360 AIO Liquid Cooler;223.39€
RL-KR24E-B1;NZXT CPU water cooling Kraken Elite 240 RGB LCD;232.19€
RL-KRX63-RW;NZXT water cooling Kraken X63 White RGB 280mm Illuminated fans and pump;236.99€
MLY-D36M-A24PZ-R1;Cooler Master MasterLiquid 360 ION Procesorius Universalusis skystinis aušintuvas 12 cm Juoda 1 vnt;237.00€
AORUS WATERFORCE X II 240;GIGABYTE AORUS WATERFORCE X II 240;237.99€
90RC00S2-M0UAY0;ASUS ROG Strix LC III 240 ARGB WHT all-in-one CPU liquid cooler with 360 rotatable water block Premium ROG ARGB fans;239.19€
RL-KR28E-B1;NZXT CPU water cooling Kraken Elite 280 RGB LCD;243.99€
90RC00J1-M0UAY0;ASUS ROG RYUO III 240 ARGB all-in-one CPU liquid cooler with Asetek 8th gen pump solution and Anime Matrix LED Display;245.89€
RL-KR28E-W1;NZXT CPU water cooling Kraken Elite 280 RGB LCD White;251.59€
CL-W366-PL14BL-A;Thermaltake Toughliquid ultra 420;255.99€
GP-AORUS WATERFORCEX II 360I;GIGABYTE AORUS WATERFORCEX II 360I AIO Liquid CPU Cooler;256.79€
CW-9061022-WW;CORSAIR iCUE LINK TITAN 240 RX LCD AIO 240mm Radiator Liquid CPU Cooler;257.79€
CW-9061025-WW;CORSAIR iCUE LINK TITAN 240 RX LCD White AIO 240mm Radiator Liquid CPU Cooler;266.19€
CW-9061007-WW;CORSAIR iCUE LINK H100i LCD AIO 240mm Radiator Liquid CPU Cooler;275.69€
CW-9061023-WW;CORSAIR iCUE LINK TITAN 360 RX LCD AIO 360mm Radiator Liquid CPU Cooler;291.59€
RL-KR36E-B2;CPU COOLER MULTI SOCKET/KRAKEN ELITE 360 RGB V2 NZXT;321.89€
CW-9060077-WW;CORSAIR iCUE H150i ELITE LCD XT Liquid CPU Cooler White;349.79€
90RC00K1-M0UAY0;ASUS ROG Ryujin III 240 ARGB all-in-one liquid CPU cooler;358.89€
90RC00K2-M0UAY0;ASUS ROG RYUJIN III 240 ARGB all-in-one liquid CPU cooler White;364.39€
